Season,Product_Type,Fabric,Gender,Price,Discount,Region,Sales
Autumn,Jacket,Wool,Male,4673,25,South,16837
Summer,Jacket,Denim,Male,4483,63,East,6126
Spring,Shirt,Linen,Male,3324,5,West,19069
Winter,Dress,Silk,Female,2866,58,East,9208
Autumn,Kurti,Denim,Male,2876,47,West,8916
Winter,Shirt,Wool,Female,2825,43,North,12485
Spring,Dress,Cotton,Male,789,50,East,13617
Summer,Kurti,Cotton,Female,1628,59,North,19961
Summer,Dress,Cotton,Male,4158,4,West,18661
Autumn,Shirt,Silk,Female,4814,62,South,15300
Winter,Dress,Silk,Male,951,41,West,11363
Spring,Jeans,Denim,Male,1203,54,West,10945
Summer,Jacket,Silk,Female,2668,69,West,16283
Autumn,Dress,Silk,Female,518,50,East,1024
Summer,Shirt,Wool,Female,4410,46,West,10876
Spring,Shirt,Cotton,Male,1595,14,East,9954
Summer,Dress,Cotton,Female,1157,24,North,10742
Summer,Shirt,Denim,Male,654,23,East,11787
Summer,Kurti,Linen,Female,3451,27,East,16417
Summer,Shirt,Silk,Male,3054,46,West,5344
Summer,Shirt,Linen,Male,1600,66,West,19349
Spring,Shirt,Silk,Female,2243,53,North,11924
Summer,Shirt,Linen,Male,2151,32,South,4191
Summer,Dress,Linen,Male,3442,62,East,1399
Winter,Jeans,Wool,Male,4537,57,West,8865
Spring,Jeans,Silk,Female,2499,14,South,15352
Spring,Jacket,Denim,Male,2496,29,North,10240
Summer,Jacket,Cotton,Female,1588,44,South,18349
Winter,Kurti,Denim,Female,1178,25,North,12478
Summer,Kurti,Wool,Male,2545,56,East,16252
Autumn,Jacket,Wool,Male,652,27,North,2141
Spring,Kurti,Silk,Male,1685,43,West,4791
Winter,Shirt,Cotton,Male,1124,52,West,20000
Summer,Kurti,Cotton,Female,1985,55,North,7757
Autumn,Jeans,Wool,Female,2758,5,North,18743
Summer,Dress,Silk,Male,1940,70,East,18612
Winter,Dress,Linen,Male,1728,59,South,15961
Winter,Jeans,Denim,Male,2751,43,East,9676
Autumn,Kurti,Wool,Male,4571,43,East,5313
Autumn,Jacket,Silk,Male,4216,53,West,19512
Autumn,Dress,Wool,Female,4097,30,South,8524
Spring,Kurti,Wool,Female,2843,39,West,11196
Autumn,Jeans,Linen,Male,4244,20,South,10591
Spring,Jeans,Cotton,Female,647,70,South,16478
Winter,Dress,Silk,Male,4211,6,West,9267
Autumn,Kurti,Denim,Female,4384,10,North,14332
Winter,Jacket,Silk,Male,834,28,West,9356
Winter,Jeans,Denim,Female,1940,43,South,1143
Spring,Jeans,Linen,Male,1722,70,West,1620
Spring,Jacket,Denim,Male,3395,31,East,2505
Autumn,Shirt,Silk,Male,4205,18,South,10872
Autumn,Kurti,Wool,Male,2981,66,South,3413
Autumn,Shirt,Denim,Male,4700,21,North,16626
Winter,Jeans,Linen,Male,2063,27,South,18599
Spring,Jeans,Denim,Female,827,39,North,7311
Autumn,Dress,Linen,Female,2807,36,East,1938
Summer,Jacket,Cotton,Female,4501,43,South,15298
Autumn,Jacket,Wool,Female,1078,15,North,15411
Winter,Jacket,Wool,Male,3128,42,North,8654
Winter,Jacket,Linen,Male,1922,11,North,8856
Spring,Shirt,Denim,Female,3232,33,North,9848
Summer,Dress,Wool,Male,2775,18,North,13720
Winter,Shirt,Linen,Female,1843,35,West,9678
Spring,Dress,Silk,Male,4652,64,North,6342
Spring,Shirt,Cotton,Female,2811,66,West,12767
Autumn,Jacket,Linen,Female,3063,34,East,6648
Winter,Kurti,Silk,Female,4900,44,East,12562
Autumn,Jeans,Wool,Male,4172,67,East,8323
Summer,Kurti,Wool,Female,1635,30,South,19373
Summer,Jeans,Wool,Female,3923,5,East,15232
Autumn,Jacket,Cotton,Male,2196,27,West,3512
Spring,Jeans,Denim,Female,4644,8,East,12180
Spring,Kurti,Linen,Female,743,65,South,5447
Summer,Jeans,Cotton,Female,2700,67,South,12669
Winter,Dress,Wool,Male,3339,55,South,5506
Winter,Jacket,Cotton,Male,2487,3,East,8528
Winter,Jeans,Silk,Female,533,37,West,17329
Winter,Jacket,Wool,Female,2447,28,South,8396
Winter,Shirt,Cotton,Female,557,34,East,5214
Autumn,Jeans,Silk,Female,4627,35,North,17629
Spring,Shirt,Wool,Female,3420,50,East,16808
Autumn,Kurti,Denim,Female,3771,14,South,11843
Summer,Jeans,Linen,Male,4544,39,South,12885
Summer,Dress,Silk,Female,2515,36,North,15402
Winter,Dress,Linen,Female,4609,63,East,15848
Autumn,Jacket,Linen,Female,3408,47,South,11501
Summer,Shirt,Wool,Male,3966,1,South,13742
Winter,Jeans,Cotton,Male,2241,68,West,4463
